catchment,priority,uaf_group,project_name,assigned_sample_label,sample_description,geology,field_station_remarks,location_description,date_established,remarks,keywords,inventory_id,dggs_sample_id,barcode,lat_wgs84,long_wgs84,sample_type,measured_d,remark,path_cache,dggs_station,field_station_id,field_station_number,latitude,longitude,geodetic_model_id,est_position_error,location_method,field_station_description,dggs_get_full_name_first_last,sample_id,borehole_location,borehole_depth_ft,prospect,Collection,UAFID,mass_sampled_g,notes_inside_rockboxes
Chena,3,97,Land Selection 1991,91RN011,"Qtz diorite with pyrrhotite-cholorite veinlets and clots, also qtz veinlets, 3' x 3' area","Granitic rocks of southern and interior Alaska; Klondike Schist, Keevy Peak Formation, and similar rocks (Yukon-Tanana crystalline complex)",,,1/1/91 0:00,,"{raw,""hand sample""}",288094,3468,GMC000001869,64.88,-145.59,outcrop,,,ANC/CO/20/10/C,3819,3819,91RN011,64.881,-145.586,1,100,Measured or digitized from field map location,,Rainer J. Newberry,3468,,,,,19,0.1,"HARD… sample is pulverized, possible contam from plywood"
Hess,5,31,"Livengood Mining District, Livengood C-3 and C-4 quadrangles",03Z145A,,"Igneous rocks (Angayucham), Unconsolidated and poorly consolidated surficial deposits",very sparse rock chips in frozen muck beneath reindeer moss.  6 small chips,NW corner of map area,9/6/03 0:00,,"{raw,""hand sample""}",289099,10636,GMC000001507,65.61,-148.75,outcrop,,,ANC/CO/20/03/D,12830,12830,03Z145,65.61507596,-148.7517818,1,4,"Garmin GPS, recorded in field notes, then Minerals field database",,David J. Szumigala,10636,,,,,23,0.5,possible streambed?
Bonanza,5,11,Ray Mountains,12LF247A,"Biotite granite; medium-grained equigranular, locally foliated muscovite-biotite granite, 5-10% muscovite 1-2 mm, 10-15% biotite, <0.5% 0.1-2 mm pink garnet, 30% 1 mm quartz, locally has blue fluorescent minerals that may be scheelite, <0.1%. Large b oulder field where Clautice thesis geologic map has 2 mica granite with garnet. 70% of exposure.",Pelitic and quartzitic schist of the Ruby terrane,,,1/1/12 0:00,,"{raw,""hand sample""}",673486,69130,GMC-000131800,66.62,-150.07,outcrop,,,ANC/CO/21/07/B,70543,70543,12LF247,66.619855,-150.065656,1,1,WAAS-enabled GPS device,,Lawrence K. Freeman,69130,,,,,44,0.6,
Hess,3,32,"Livengood Mining District, Livengood C-3 and C-4 quadrangles",03RN204A,,Chert of Interior Alaska; Unconsolidated and poorly consolidated surficial deposits,rocks poking out of tundra on steep hillside.  Contact between upper and lower Dsl ~1/2 way between RN203 and 204.,NE corner map area,12/6/03 0:00,,"{raw,""thin section"",trimming}",279577,10903,GMC000001459,65.62,-148.27,outcrop,,,ANC/CO/20/02/E,12538,12538,03RN204,65.61878372,-148.2536649,1,5,"Garmin GPS, recorded in field notes, then Minerals field database",,Rainer J. Newberry,10903,,,,,2,0.7,
SFkKoyukuk,5,2,Land Selection 1991,91KC223,Siwash Ck,"Granitic rocks and orthogneiss; 	Pelitic and quartzitic schist of the Ruby terrane",,,1/1/91 0:00,2017-NGGDPP record,"{raw,""hand sample""}",293803,3609,GMC000001881,67.14,-149.4,outcrop,,,ANC/CO/21/01/D,3306,3306,91KC223,67.145,-149.397,1,100,Measured or digitized from field map location,,Karen H. Clautice,3609,,,,,45,0.7,
SFkKoyukuk,5,3,Land Selection 1991,91SL067,,Igneous rocks (Angayucham),,,1/1/91 0:00,from GMC inventory file; 2017-NGGDPP record; ,"{raw,""hand sample""}",352023,172108,GMC000001858,67,-150.1,outcrop,,,ANC/CO/20/10/B,3278,3278,91SL067,67.002,-150.098,1,100,Measured or digitized from field map location,,Shirley A. Liss,172108,,,,,52,0.9,
NoName,2,25,Ray Mountains,13RN559A,Lithology based on geochemical data: Basalt; Lithology and supplemental textural or mineral descriptors assigned in the field: Equigranular basalt.; Tb - Basalt flows (Oligocene),"	Volcanic rocks, undivided",,,1/1/13 0:00,,"{raw,""hand sample""}",727964,70982,GMC-000196675,66.12,-150.12,outcrop,,,ANC/CO/20/05/F,72365,72365,13RN559,66.11787415,-150.1236024,3,1,Geochemical analysis files,,Rainer J. Newberry,70982,,,,,13,1,
Hutlinana,5,50,"Rampart Mining District, Tanana A-1 and A-2 quadrangles",97SL159B,,"Flysch and quartzite, Kandik Group and equivalent",orientation point,,1/1/97 0:00,from GMC inventory file; 2017-NGGDPP record; ,"{raw,""hand sample""}",315952,176027,GMC000008902,65.16,-150.12,outcrop,,,ANC/CO/19/03/C,21679,21679,97SL159,65.15937956,-150.1145928,1,60,"GeMS database; increased precision on location from geochemical analysis files; Also on AGDI map, ~110m ENE of station location from geochemical analysis file.",,Shirley A. Liss,176027,,,,,37,1,"shale, Wilbur formation"
Idaho,NA,81,"Northeastern Fairbanks Mining District, Circle Quadrangle",07MBW290A,"Porphyritic granite; (syeno-granite) pale orangey tan, with 2 percent biotite (< 2 mm), 13 percent euhedral feldspar (< 2.5 mm long), and 8 percent gray, euhedral quartz (< 3 mm) phenocrysts in a very fine grained groundmass (0.1 mm).",Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,9/6/07 0:00,age: biotite,"{processed,""hand sample"",pulp}",290108,48850,GMC000006903,65.39,-146.18,outcrop,,,ANC/CO/20/05/E,45929,45929,07MBW290,65.39032717,-146.1815937,1,5,"Garmin GPS, recorded in field notes, then Minerals field database",,Melanie B. Werdon,48850,,,,,4,1,
Vault,1,64,,,,Pelitic schist and quartzite and mafic interbeds (Yukon-Tanana crystalline complex),,,,,,1996 OD-11,,,65.01,-147.81,borehole,530,,,,,,,,,,,,,,,500,Old Dog,,70,1,dark gray
