"site","Quartzite.and.pelitic.schist","Pelitic.and.quartzitic.schist.of.the.Ruby.terrane","Unconsolidated.surficial.deposits..undivided","Quartz.monzonite..monzonite..and.syenite","Wickersham.and.Neruokpuk.units","Mafic.schist.and.amphibolite","Flysch.and.quartzite..Kandik.Group.and.equivalents","Eclogite.and.associated.rocks","Water","Pelitic.schist..including.Chena.River.sequence","Metagraywacke.and.phyllite","Andesite.and.basalt.flows","Poorly.consolidated.surficial.deposits","Felsic.granitic.rocks","Globe.quartzite.of.Weber.and.others..1992.","Igneous.rocks","Totatlanika.Schist","Mafic.igneous.rocks..central.and.northeast.Alaska","Older.carbonate.strata","Chert.of.Interior.Alaska","Quartz.mica.schist.of.the.Brooks.Range","Keevy.Peak.Formation.and.similar.rocks","Gneiss..schist..and.quartzite","schistTot"
"Alder_Kokomo",43.09,0,0,0,0,0,0,39.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.09
"Angel",73.26,0,14.53,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,73.26
"Baker",0,0,28.68,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Banner",0,0,92.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bear_Steese",94.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.45
"Bedrock",74.12,0,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.12
"Belle",77.67,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.67
"BFY8_BFY9",87.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.31
"Birch Cree_Confluence_12_Mile_Creek",95.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.3
"Birch_12_Mile_Bridge",35.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.06
"Bonanza",0,53.64,0,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.64
"Boston",96.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.95
"Boulder",18.66,0,0,0,0,58.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5
"Bridge",0,0,25.71,0,0,0,70.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C3",8.59,0,91.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59
"C4",0,0,91.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cache_Creek",41.14,0,56.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.14
"Camp",92.15,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.15
"Canyon",0,0,89.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Caribou_CJ",7.93,0,84.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93
"Caribou_Steese",84.93,0,0,0,0,0,0,10.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.93
"Cascaden",0,0,20.97,0,0,0,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chatanika",55.14,0,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.14
"Chena",32.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.65
"Chena_Nordale_down",0,0,69.12,0,0,0,0,0,28.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chena_Nordale_up",39.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.18
"Colorado",28.7,0,33.92,0,0,0,0,0,0,23.2,0,0,0,0,0,0,0,0,0,0,0,0,0,51.9
"Cripple",89.2,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2
"Crooked_Central",58.56,0,0,0,0,18.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.58
"Crooked_Steese",88.24,0,7.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.24
"Cushman",16.2,0,60.02,0,19.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2
"Dalton_Central",0,57.29,0,0,0,0,0,0,0,0,42.71,0,0,0,0,0,0,0,0,0,0,0,0,57.29
"Fish",0,6.14,63.81,15.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14
"Fish_Steese",93.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.56
"Flat",0,0,67.18,0,0,0,0,0,0,19.96,0,0,0,0,0,0,0,0,0,0,0,0,0,19.96
