"site","latitude","longitude","SampleID","date","year","doy","temp_str","spcond","DOC_uM","TDN_uM","Cl_uM","F_uM","NO3_uM","SO4_uM","NH4_uM","TDP_uM","Na_uM","K_uM","Mg_uM","Ca_uM","Br_uM","lat","lon","pH","SRP_uM","SUVA","CO2_uM","CH4_uM","NO2_uM","DON_uM","oxalate_uM","Lt_uM","DOCDON","DOCTDN","DOCDIN","project","ecoregion","type.x","Area_km2","SLOPE_MIN","SLOPE_MAX","SLOPE_MEAN","SLOPE_STD","GRIDCODE","Aspect_Azm","Aspect_Cls","aspect_lin","aspect_lin2","cburntot","fireyear_rct","pctburn_rct","areaburn_rct","fireyear_lg","pctburn_lg","areaburn_lg","Quartzite.and.pelitic.schist","Pelitic.and.quartzitic.schist.of.the.Ruby.terrane","Unconsolidated.surficial.deposits..undivided","Quartz.monzonite..monzonite..and.syenite","Wickersham.and.Neruokpuk.units","Mafic.schist.and.amphibolite","Flysch.and.quartzite..Kandik.Group.and.equivalents","Eclogite.and.associated.rocks","Water","Pelitic.schist..including.Chena.River.sequence","Metagraywacke.and.phyllite","Andesite.and.basalt.flows","Poorly.consolidated.surficial.deposits","Felsic.granitic.rocks","Globe.quartzite.of.Weber.and.others..1992.","Igneous.rocks","Totatlanika.Schist","Mafic.igneous.rocks..central.and.northeast.Alaska","Older.carbonate.strata","Chert.of.Interior.Alaska","Quartz.mica.schist.of.the.Brooks.Range","Keevy.Peak.Formation.and.similar.rocks","Gneiss..schist..and.quartzite","schistTot","lat_new","long_new","type.y","orgsoil_extent","PADR_p25","PADR_p50","PADR_p75","TPI_p25","TPI_p50","TPI_p75","Pf_Prob_1m_mean_x","NDVI_p50__linear_trend__attr_.slope.","NDVI_p50__linear_trend__attr_.stderr.","NDVI_p50__sum_values","NDVI_p50__mean_abs_change","NDVI_p50__mean_change","NDVI_p50__mean_second_derivative_central","NDVI_p50__median","NDVI_p50__mean","NDVI_p50__standard_deviation","NDVI_p50__variation_coefficient","NDVI_p50__variance","NDVI_p50__root_mean_square","NDVI_p50__absolute_sum_of_changes","NDVI_p50__maximum","NDVI_p50__minimum","NDVI_p25","NDVI_p50","NDVI_p75","ObservedFraction","yrsincelg","yrsincerct","schist2","schist3"
"Angel",NA,NA,NA,"2019-07-01",2019,182,5.9,67.8,99.5,33.00207857,4.78802922178659,14.7805032108643,30.9071428571429,108.117299721796,2.67857142857143,0.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3.01496161185583,2.9625691195236,"Burn_Streams","Interior","ppt_gw",94.65221209,0.02422595,42.80474472,19.15298579,7.96142813,1,143.398359272,"135 SE",0.0224832740577765,1.18461886576872,36.68,2011,0.6,0.563674523,1958,32.42,30.69016173,73.26,0,14.53,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,73.26,65.02474707,-146.217,"ppt_gw",0.03,-1.09788448,-0.800187247,-0.636882527,-56.99313809,-5.018152596,56.98645462,30.51,-0.001362973,0.000863599,7.292025852,0.046101183,-0.0007667,-0.002712196,0.25192803,0.251449167,0.039237843,0.15604682,0.001539608,0.254492224,1.290833134,0.325192399,0.17675765,0.245114436,0.29002146,0.338848209,1,61,8,73.26,73.26
"Baker",NA,NA,NA,"2019-07-02",2019,183,15.4,250.1,684.08333335,18.642857145,17.5048655967055,9.55100536898621,0.0593717142857143,299.50718219497,0.678571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9049140021429,NA,NA,38.2064573595902,36.6941251563187,927.013605277758,"Burn_Streams","Interior","ppt_gw",565.0662651,0,43.90822983,6.816145033,6.629319672,2,178.444033334,"180 SO",0.852214275738967,1.29787977124315,102.6,2015,19.91,95.93144645,1969,77.99,440.7161446,0,0,28.68,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0904696,-150.289,"ppt_gw",0.27,-0.832377404,-0.792433214,-0.753702433,-12.97996989,-0.874991588,10.97858869,37.41,0.00047738,0.001061443,5.821117639,0.038083291,0.001401077,-0.000332981,0.24609152,0.242546568,0.034620924,0.142739288,0.001198608,0.245004992,0.875915692,0.298817177,0.142572149,0.201211225,0.236325321,0.267565478,1,50,4,0,0
"Banner",NA,NA,NA,"2019-07-08",2019,189,NA,NA,642.0416667,28.75,16.2637858573322,11.9354668912517,8.36428571428571,601.061715778118,4.82142857142857,0.33075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5642857142857,NA,NA,41.2509560982102,22.3318840591304,48.6922174095341,"Burn_Streams","Interior","ppt_gw",52.71696686,0.045715854,42.47064209,13.02450837,6.70388503,3,211.09979587,"225 SW",0.278824551903419,1.99959420158827,0,1940,0,0,1940,0,0,0,0,92.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.28996213,-146.35,"ppt_gw",0.02,-0.964568024,-0.785030315,-0.684018149,-30.48804463,0.507007236,33.50801047,24.69,-0.001973035,0.001378894,7.344874557,0.078618908,0.001255795,-0.002080543,0.266584836,0.253271536,0.062177584,0.245497716,0.003866052,0.260792107,2.201329437,0.361373857,0.141602699,0.198237632,0.249016951,0.323230104,1,79,79,0,0
"Bear_Steese",NA,NA,NA,"2019-07-03",2019,184,10.8,160.7,202,12.09642857,2.10842523904888,2.94504684703653,9.65,618.168398342134,0.392857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05357142714286,NA,NA,98.3652174597323,16.6991437870327,20.1137980085349,"Burn_Streams","Interior","ppt_gw",25.52658297,0.392254651,31.86089516,14.34942424,4.717770079,4,175.783609798,"180 SO",0.352025632471013,0.294137561149903,0,1940,0,0,1940,0,0,94.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.45,65.41793199,-145.626,"ppt_gw",0.03,-0.91886292,-0.801493928,-0.69906108,-45.02801135,-0.991277205,43.01936162,47.15,-0.000225776,0.000798482,6.352496786,0.036819681,0.001052033,-0.003359804,0.239249779,0.235277659,0.031146074,0.132380075,0.000970078,0.237330265,0.957311695,0.313501651,0.186525482,0.233395186,0.262683121,0.290040757,1,79,79,94.45,94.45
"Bedrock",NA,NA,NA,"2019-07-03",2019,184,8,71.6,642.4166667,24.785714285,4.21967111386907,11.1011685440573,12.35,297.258842900131,0.857142857142857,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5785714278571,NA,NA,55.483240804163,25.9188280520438,48.6416080789616,"Burn_Streams","Interior","ppt_gw",25.80417091,0.308010578,39.88511658,14.84722955,6.589056491,5,29.0347972068,"045 NE",0.21537492066265,1.9929414096619,0,1940,0,0,1940,0,0,74.12,0,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.12,65.55917752,-145.094,"ppt_gw",0.06,-1.120088811,-0.956914966,-0.7621697,-44.95065814,0.999788181,44.99004647,51.15,-0.000722814,0.000727361,6.279293824,0.032340488,-0.002890028,0.000772534,0.239258746,0.241511301,0.027269225,0.112910761,0.000743611,0.24304592,0.8085122,0.297831791,0.192396196,0.215782683,0.249016159,0.278304631,1,79,79,74.12,74.12
"Belle",NA,NA,NA,"2019-07-03",2019,184,8.9,150,163,23.54285714,5.983978788819,4.06358564059375,18.8035714285714,219.025719638903,0.607142857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13214285428574,NA,NA,39.4468453168169,6.92354369016062,8.39742410303589,"Burn_Streams","Interior","ppt_gw",47.07893415,0.137564719,34.58968735,12.46491534,5.03876265,6,167.165892408,"180 SO",0.257391213939527,1.99980191822306,97.2,2004,97.2,45.76099775,2004,97.2,45.76099775,77.67,0,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.67,65.21297175,-147.198,"ppt_gw",0.04,-0.956992603,-0.808391887,-0.682526053,-39.47862122,6.52784152,40.5277629,35.77,-0.001667571,0.001310545,5.601557641,0.044991349,-0.002748423,-0.002853429,0.193358374,0.20005563,0.055634819,0.278096742,0.003095233,0.207647509,1.21476643,0.301741704,0.069344221,0.23730856,0.274394448,0.309582772,1,15,15,77.67,77.67
"Bonanza",NA,NA,NA,NA,2018,NA,7.3,59.9,210,15.18571429,6.2,0.835,8.119643429,161.7,NA,0.1020007,59.46146901,11.67428268,57.05803121,164.3120669,NA,66.66126404,-150.6625386,NA,NA,NA,2480,NA,NA,NA,NA,NA,NA,13.8287864495309,NA,"Burn_Streams","Interior","ppt_gw",312.9131424,0.005669575,38.12870789,9.664035604,5.92054568,9,321.852797008,"315 NW",0.975348629238733,0.281232765510911,32.52,2007,0.79,2.476612653,2005,31.73,99.2721142,0,53.64,0,34.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.64,66.66182258,-150.665,"ppt_gw",0.22,-1.004378348,-0.902455126,-0.816620346,-26.99362434,-0.961333324,22.98646603,38.06,0.00027783,0.001098185,5.863513616,0.046269201,0.00272572,-0.002101728,0.236330098,0.234540545,0.038031584,0.162153557,0.001446401,0.237604016,1.110460826,0.314486931,0.157223463,0.189527163,0.216793732,0.24022637,0.999989727,13,11,0,0
"Boston",NA,NA,NA,"2019-07-03",2019,184,6.1,109.1,132.75,21.525,4.57789185682453,3.91620170544268,19.25,165.616306137512,1.10714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16785714285714,NA,NA,113.669724770643,6.16724738675958,6.52105263157895,"Burn_Streams","Interior","ppt_gw",18.38014319,0.108420372,31.31857681,12.72731389,4.558514057,10,196.230059196,"180 SO",0.981300554265486,0.310311170001566,100,2004,100,18.38014319,2004,100,18.38014319,96.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.95,65.22580063,-147.127,"ppt_gw",0.04,-0.948166096,-0.763935683,-0.657851375,-42.48749886,6.533655203,46.53770245,30.78,-0.002502899,0.001537042,5.648791492,0.047625498,-0.005282075,-0.002665214,0.200199028,0.201742553,0.066458518,0.329422412,0.004416735,0.212407138,1.285888442,0.319286378,0.047790398,0.250981123,0.280274387,0.321254153,1,15,15,96.95,96.95
"Boulder",NA,NA,NA,"2019-07-03",2019,184,9.1,163,720.25,16.42857143,4.61314980396581,9.64838404042531,0.5,637.52909782547,0.192857142857143,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.7357142871429,NA,NA,45.7716749844964,43.8413043440138,1039.53608247423,"Burn_Streams","Interior","ppt_gw",83.45699515,0.103421099,37.60292053,11.80364175,5.947365035,11,61.1160001917,"045 NE",0.0223208733439994,1.7079802045664,12.75,1996,12.75,10.64007074,1996,12.75,10.64007074,18.66,0,0,0,0,58.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,65.57244141,-144.887,"ppt_gw",0.13,-1.020053587,-0.839762327,-0.723393414,-33.00128558,-1.014949565,30.99388407,52.14,-0.000666094,0.00073104,6.13180046,0.030780073,-0.003281981,0.000691854,0.2353594,0.235838479,0.027320755,0.115845195,0.000746424,0.237415694,0.769501821,0.297858958,0.19042359,0.221680468,0.2470642,0.27830898,1,23,23,18.66,18.66
"Camp",NA,NA,NA,"2019-07-03",2019,184,4.5,108.1,110.70833335,21.260714285,5.65537472146222,3.35561638067165,21.3464285714286,185.87123147675,0.607142857142857,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5.2071784543997,5.04283932617536,"Burn_Streams","Interior","ppt_gw",4.977086254,0.370345175,25.51952171,13.07162719,4.582965061,15,182.35696017,"180 SO",0.494858326071471,0.120978974079542,101.26,2004,97.21,4.838318202,2004,97.21,4.838318202,92.15,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.15,65.21996737,-147.01,"ppt_gw",0.01,-0.85735075,-0.666044076,-0.627521242,-31.51971369,13.42177757,45.48174786,29.58,-0.003578882,0.001643249,5.84600961,0.058356134,-0.006508305,-0.002477079,0.1972464,0.208786057,0.073598584,0.352507177,0.005416752,0.22137834,1.575615623,0.356404607,0.077080006,0.264682173,0.29388893,0.33102452,1,15,15,92.15,92.15
