"ID","assigned_sample_label","UAFID","samplewt_mg","Nsignal_V","pctN","del15N","N_mgkg","uncertainty15N_pmil","rundate","possibleID","field_station_number","type","type_b","Statelayer_rocktype","graphite","mica","mafic","muscovite","biotite","garnet","garent size","meta_grade","texture","grain-size","deformation","clastic","structures present","deform"
"3","00MBW601","3",100.158,0.205,0.00418893717490524,-1.542,41.8893717490524,1,230403,"00MBW601","00MBW601","meta","schist","schist","no","0.1",NA,"yes","yes","no",NA,"greenschist","well developped foliation","med/coarse","low",NA,"quartz/calcite phenocrysts","low"
"00MBW601 HS","00MBW601","3",100.074,0.577,0.0117164000661275,1.3,117.164000661275,0.1,230427,NA,"00MBW601","meta","schist","schist","no","0.1",NA,"yes","yes","no",NA,"greenschist","well developped foliation","med/coarse","low",NA,"quartz/calcite phenocrysts","low"
"00MBN684","00MBW684","12",99.682,0.174,0.00354708947621321,0.782,35.4708947621321,1,230427,NA,"00MBW684","ig","dacite","granite","no","0.05","0.25","yes","yes",NA,NA,NA,NA,"coarse",NA,NA,NA,NA
"12","00MBW684","12",100.195,0.12,0.00245115528853852,9.483,24.5115528853852,1,230403,"00MBW684","00MBW684","ig","dacite","granite","no","0.05","0.25","yes","yes",NA,NA,NA,NA,"coarse",NA,NA,NA,NA
"53","01Z451A","53",99.808,0.253,0.00518789046186884,-3.564,51.8789046186884,1,230403,"01Z451A","01Z451","meta","gneiss","gniess","no","0.1",NA,"yes","yes","yes","small","amphibolite","foliated","medium","low",NA,"no","low"
"01Z451A","01Z451A","53",100.168,0.128,0.00259669299057407,-1.223,25.9669299057407,1,230427,NA,"01Z451","meta","gneiss","gniess","no","0.1",NA,"yes","yes","yes","small","amphibolite","foliated","medium","low",NA,"no","low"
"01Z451A","01Z451A","53",100.188,2.837,0.0576154473482859,0.167,576.154473482859,0.1,230427,NA,"01Z451","meta","gneiss","gniess","no","0.1",NA,"yes","yes","yes","small","amphibolite","foliated","medium","low",NA,"no","low"
"43","02JEA625A","43",99.734,0.475,0.00974733745631553,3.036,97.4733745631552,0.1,230403,"02JEA625A","02JEA625","meta",NA,NA,"no",NA,NA,"no","yes","no",NA,"amphibolite",NA,"fine",NA,NA,"no",NA
"02JEA625A","02JEA625A","43",99.914,0.078,0.00158638244448243,3.117,15.8638244448243,2,230427,NA,"02JEA625","meta",NA,NA,"no",NA,NA,"no","yes","no",NA,"amphibolite",NA,"fine",NA,NA,"no",NA
"02MBW568A","02MBW568A","11",99.978,0.233,0.00473577559178635,0.973,47.3577559178635,1,230427,NA,"02MBW568","meta","schist","schist","no","0.15",NA,"yes","yes","yes","small","greenschist","well developped foliation","fine/med","low",NA,"no","low"
"02RN721A","02RN721A","36",100.202,0.173,0.00350840201402616,-2.538,35.0840201402616,1,230427,NA,"02RN721","meta","gneiss","gniess","no","0.05",NA,"no","yes","yes","small","amphibolite","well developped foliation","fine","moderate/high",NA,"banding","moderate-high"
"02Z638B","02Z638B",NA,99.677,0.095,0.00193672645697033,-0.866,19.3672645697033,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03JEA156A","03JEA156A","31",99.854,1.295,0.026353842141274,0.22,263.53842141274,0.1,230427,NA,"03JEA156","sed","mudstone","mudstone","no",NA,NA,NA,NA,NA,NA,NA,NA,"fine",NA,"yes",NA,NA
"03LF13A","03LF013A","18",99.825,0.068,0.00138423310767499,2.502,13.8423310767499,2,230427,NA,"03LF013","sed","chert","chert","no",NA,NA,NA,NA,NA,NA,NA,NA,"fine",NA,"no",NA,NA
