"ID","assigned_sample_label","UAFID","samplewt_mg","Nsignal_V","pctN","del15N","N_mgkg","uncertainty15N_pmil","rundate","possibleID","field_station_number","type","type_b","Statelayer_rocktype","graphite","mica","mafic","muscovite","biotite","garnet","garent size","meta_grade","texture","grain-size","deformation","clastic","structures present"
"02Z638B","02Z638B",NA,99.677,0.095,0.00193672645697033,-0.866,19.3672645697033,2,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"02LF015","03LF015","22",100.484,1.044,0.021112673052499,-0.486,211.12673052499,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"03Z145A","03Z145A","23",99.764,0.435,0.00886043495569256,0.72,88.6043495569256,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"07JEA287AB HSTX","07JEA287A","6",99.948,0.126,0.00256174605157633,2.73,25.6174605157633,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","12MJB002A","38",99.709,0.251,0.00515198975167023,-15.343,51.5198975167023,1,230403,"12MJB002A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHEEP CK 2525","81MR106A","9",99.957,1.432,0.0291118257618829,5.107,291.118257618829,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","91LB021","49",99.539,0.059,0.00121309375755331,-4.713,12.1309375755331,2,230403,"91LB021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9752159B","97SL159B","37",100.146,0.143,0.00290163023841557,-4.2,29.0163023841557,1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C-4 peroxide","C-4 peroxide",NA,49.754,0.75,0.03,3.49,311.53,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3 rocks","C3 rocks",NA,47.408,0.41,0.02,1.05,179.752788,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-1a","C3-1a",NA,50.288,0.68,0.03,4.93,278.34,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-1b","C3-1b",NA,47.28,0.25,0.01,4.54,110.1463174,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-2","C3-2",NA,49.796,0.76,0.03,1.82,313.3297813,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C3-3","C3-3",NA,47.319,0.23,0.01,3.24,100.0504868,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chat-2","Chat-2",NA,51.63,1.13,0.05,2,451.31,0.1,170217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OD-11 0-5","OD-11 0-5","56",99.727,0.668,0.0136288439000165,-4.428,136.288439000165,0.1,230427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
